original,translated,fuel,machine,others,part,price,service,clean_sentence
#YamahaID Perawatan Motor Injeksi Yamaha Mudah dan Murah,#yamahaid perawatan motor injeksi yamaha gampil lan mirah,neutral,neutral,neutral,neutral,neutral,positive,yamahaid awat motor injeksi yamaha gampil lan mirah
Buat dalam kota xpander bagus karna model nya kalem dan kesan nya car city,damel lebeting kitha xpander sae   amargi modelipun   kalem lan kesanipun   car city,neutral,neutral,neutral,positive,neutral,neutral,damel lebeting kitha xpander sae amargi model kalem lan kesan car city
brio pajak nya murah karena ckd daripada ignis atau sirion yg cbu pajak nya agak mahal trus onderdil nya agak susah atau lama kalo mau klaim asuransi,brio pajakipun   mirah amargi ckd daripada ignis utawi sirion ingkang cbu pajakipun   radi awis  trus onderdilipun   radi sisah utawi lami menawi badhe klaim asuransi,neutral,neutral,neutral,negative,negative,neutral,brio pajak mirah amargi ckd daripada ignis utawi sirion ingkang cbu pajak radi awis trus onderdil radi sisah utawi lam menawi badhe klaim asuransi
toyota menang harga nya kalo nantinya mau dijual,toyota menang reginipun   menawi mangkenipun badhe dipunsade,neutral,neutral,neutral,neutral,positive,neutral,toyota menang reginipun menawi mangkenipun badhe dipunsade
All New Toyota Kijang Innova G Diesel 2017 . Mesin bandel nan irit Otolovers .,all new toyota kidang innova g diesel 2017 . mesin bandel nan irit otolovers .,positive,positive,neutral,neutral,neutral,neutral,all new toyota kidang innova g diesel mesin bandel nan irit otolovers
"Khusus nya Daihatsu Xenia Sporty Manual , apalagi yang terbaru ini , di samping irit bbm , suara mesin halus . Tarikan lebih baik dari generasi sebelumnya dan akselerasi cukup baik dan variasi tidak terlalu monoton atau ramai .","mliginipun   daihatsu xenia sporty manual , punapa malih ingkang paling enggal puniki , ing sisi    irit bbm , suwanten mesin lembat . tarikan langkung sae saking generasi saderengipun  lan akselerasi cekap nggih lan variasi mboten patos monoton utawi rame  .",positive,positive,neutral,positive,neutral,neutral,mliginipun daihatsu xenia sporty manual punapa malih ingkang paling enggal puniki ing sisi irit bbm suwanten mesin lembat tari langkung sae saking generasi saderengipun lan akselerasi cekap nggih lan variasi mboten patos monoton utawi rame
untuk yang sekarang great new xenia sudah mempunyai fasilitas yang wow dengan harga yang bersahabat bahkan lebih murah daripada rival nya,kangge ingkang sapunika great new xenia sampun gadhah fasilitas ingkang wow kaliyan regi  ingkang mitran     malah  langkung mirah daripada rivalipun,neutral,neutral,neutral,positive,positive,neutral,kangge ingkang sapunika great new xenia sampun gadhah fasilitas ingkang wow kaliyan regi ingkang mitran malah langkung mirah daripada rival
"punya mobil altis tidak awet , baru setahun sudah rusak .","gadhah mobil altis mboten awet , enggal sawarsa sampun risak .",neutral,neutral,negative,neutral,neutral,neutral,gadhah mobil altis mboten awet enggal sawarsa sampun risak
Xenia ku tipe xi sudah 1.5 tahun dan cukup bangga dengan performa nya,xenia kula  tipe xi sampun 1.5 warsa lan cekap bingah kaliyan performanipun,neutral,positive,neutral,neutral,neutral,neutral,xenia kula tipe xi sampun warsa lan cekap bingah kaliyan forman
"Service rutin ke bengkel daihatsu resmi gak jaminan juga , rem - ku blong waktu jalan ,","service rutin dhateng bengkel daihatsu resmi mboten jaminan ugi  , rem kula   blong wekdal {margi, mlampah} ,",neutral,neutral,neutral,neutral,neutral,negative,service rutin dhateng bengkel daihatsu resmi mboten jamin ugi rem kula blong wekdal margi mlampah
"Saya pakai karimun , adik saya pakai brio . memang karimun lebih nyaman walau lebih murah dari brio .","kula angge karimun , adhi kula angge brio . estu   karimun langkung nyaman sanadyan langkung mirah saking brio .",neutral,neutral,positive,neutral,positive,neutral,kula angge karimun adhi kula angge brio estu karimun langkung nyaman sanadyan langkung mirah saking brio
bodi plus tampilan nya Avanza baru mantap juragan,bodi plus tampilanipun   avanza enggal mantep juragan,neutral,neutral,neutral,positive,neutral,neutral,bodi plus tampilanipun avanza enggal mantep juragan
Sudah dari dulu Toyota selalu kasih produk super mahal dengan fitur pas pasan,sampun saking rumiyin toyota tansah asih  produk super awis  kaliyan fitur pas pasan,neutral,neutral,neutral,negative,negative,neutral,sampun saking rumiyin toyota tansah asih produk super awis kaliyan fitur pas pas
"udah gaya nya stylish ekonomis pula, beli calya deh","empun gayanipun  stylish ekonomis ugi , tumbas calya deh",neutral,neutral,neutral,positive,positive,neutral,empun gayanipun stylish ekonomis ugi tumbas calya deh
avanza ini mobil saya yang paling bandel,avanza puniki mobil kula ingkang paling bandel,neutral,positive,neutral,neutral,neutral,neutral,avanza puniki mobil kula ingkang paling bandel
Mobil kualitas jelek kayak wuling saja masuk Indonesia.,mobil kwalitet awon  kados wuling mawon mlebet indonesia.,neutral,neutral,negative,neutral,neutral,neutral,mobil kwalitet awon kados wuling mawon mlebet indonesia
Pelayanan bengkel daihatsu bagus,pelayanan bengkel daihatsu sae,neutral,neutral,neutral,neutral,neutral,positive,layan bengkel daihatsu sae
"gue punya xenia xi , dasbor nabrak pohon , setelah dua hari diperbaiki di servis resmi daihatsu , langsung jadi kayak baru lagi , keren .","kula gadhah xenia xi , dasbor nabrak wit   , sasampunipun kalih dinten dipundandosi ing servis resmi daihatsu , langsung dados kados enggal malih , keren .",neutral,neutral,neutral,neutral,neutral,positive,kula gadhah xenia xi dasbor nabrak wit sasampunipun kalih dinten dipundandosi ing servis resmi daihatsu langsung dados kados enggal malih keren
"fortuner per nya keras , capek","fortuner peripun atos, sayah",neutral,neutral,neutral,negative,neutral,neutral,fortuner peri atos sayah
"Lebih bagus Mobil Esemka , Mobil Nasional Asli Buatan Dalam Negeri , Harga Terjangkau , Irit BBM Mesin nya juga tangguh .","langkung sae mobil esemka , mobil nasional asli damelan lebet nagari , regi terjangkau , irit bbm mesinipun ugi tanggen .",positive,positive,positive,neutral,positive,neutral,langkung sae mobil esemka mobil nasional asli damelan lebet nagari regi jangkau irit bbm mesin ugi tanggen
"ya begitu itu Nissan , memang agak mahal tetapi daya tahan nya bagus .","nggih kados puniku puniku nissan , estu   radi awis  nanging daya tahanipun   sae   .",neutral,neutral,positive,neutral,negative,neutral,nggih kados pun pun nissan estu radi awis nanging daya tahan sae
fortuner gak cocok buat mahasiswa dari segi desain yang terlalu mencolok dan mahal pula,fortuner mboten cocok damel mahasiswa saking segi desain ingkang sanget-sanget mencolok lan awis  ugi,neutral,neutral,neutral,negative,neutral,neutral,fortuner mboten cocok damel mahasiswa saking segi desain ingkang sangetsanget colok lan awis ugi
Servis di Bengkel Toyota Lebih cepat,servis ing bengkel toyota langkung enggal,neutral,neutral,neutral,neutral,neutral,positive,servis ing bengkel toyota langkung enggal
Honda Spacy irit banget sumpah,honda spacy irit sanget sumpah,positive,neutral,neutral,neutral,neutral,neutral,honda spacy irit sanget sumpah
Gak bisa tidur kalau malam-malam di mobil karena suara ac nya berisik sekali,mboten saged tilem menawi ndalu-ndalu ing mobil amargi suwanten acipun   berisik sanget,neutral,neutral,neutral,negative,neutral,neutral,mboten saged tilem menawi ndalundalu ing mobil amargi suwanten aci berisik sanget
"Ih bengkel honda ini picik banget ya , masa iya aki motor gue ditukar sama yang jelek biar gak bisa hidup terus ada keluhan terus ke sana lagi gitu","ih bengkel honda puniki picik sanget nggih , napa nggih aki motor kula dipunlintu sami ingkang awon  supados mboten saged gesang terus wonten keluhan terus mrika malih ngoten",neutral,neutral,neutral,neutral,neutral,negative,ih bengkel honda puniki picik sanget nggih napa nggih aki motor kula dipunlintu sami ingkang awon supados mboten saged gesang terus wonten keluh terus mrika malih ngoten
"dari segi kenyamanan cortez oke lah, tapi bahan bakar nya itu loh boros banget","saking segi kenyamanan cortez oke lah, nanging bahan bakaripun   puniku loh boros sanget",negative,neutral,positive,neutral,neutral,neutral,saking segi nyaman cortez oke lah nanging bahan bakar pun loh boros sanget
"jujur saja inden nya lama banget dari dealer , sudah 1 bulan belum datang juga","jujur mawon indenipun   lami sanget saking dealer , sampun 1 sasi  dereng dugi ugi",neutral,neutral,neutral,neutral,neutral,negative,jujur mawon inden lam sanget saking dealer sampun sasi dereng dugi ugi
numpang gabung ya baru beli xenia 04 - 2008 3 hari yang lalu keseluruhan gue ngerasa cukup .,nderek  gabung nggih enggal tumbas xenia 04 -2008 3 dinten ingkang rumiyin sedayanipun kula ngerasa cekap .,neutral,neutral,positive,neutral,neutral,neutral,nderek gabung nggih enggal tumbas xenia dinten ingkang rumiyin sedayanipun kula ngerasa cekap
setuju banget kalau jazz lebih keren dan mantap daripada mobilio,purun sanget menawi jazz langkung keren lan mantep daripada mobilio,neutral,neutral,negative,neutral,neutral,neutral,purun sanget menawi jazz langkung keren lan mantep daripada mobilio
"Masya Allah toyota mahal harga nya , tetapi pelit fitur-fitur","masya allah toyota awis  reginipun   , nanging pelit fitur-fitur",neutral,neutral,neutral,negative,negative,neutral,masya allah toyota awis reginipun nanging pelit fiturfitur
fortuner sparepart nya banyak dijual di mana-mana,fortuner sparepartipun   kathah dipunsade ing pundi-pundi,neutral,neutral,neutral,positive,neutral,neutral,fortuner sparepartipun kathah dipunsade ing pundipundi
"Alhamdullilah inden dari dealer wulling agustus awal mobil sudah datang , cepat .","alhamdullilah inden saking dealer wulling agustus wiwiting mobil sampun dugi , enggal .",neutral,neutral,neutral,neutral,neutral,positive,alhamdullilah inden saking dealer wulling agustus wiwiting mobil sampun dugi enggal
"Vario 125 sangat ringan dan nyaman dipakai untuk perempuan seperti saya , apalagi dibawa ke mana-mana sangat irit dan harga nya terjangkau dibandingkan motor honda yang lain .","vario 125 ringan sanget lan nyaman dipunangge kangge estri kados   kula , punapa malih dipunbekta dhateng pundi-pundi irit sanget lan reginipun   terjangkau dipunbandingaken motor honda ingkang sanes .",positive,neutral,positive,neutral,positive,neutral,vario ringan sanget lan nyaman dipunangge kangge estri kados kula punapa malih dipunbekta dhateng pundipundi irit sanget lan reginipun jangkau dipunbandingaken motor honda ingkang sanes
"Udah beli yg rush 2018 , alhamdulillah tidak ada penyesalan sampai saat ini dan insyaAllah seterusnya","empun tumbas ingkang rush 2018 , alhamdulillah mboten wonten penyesalan dumugi wekdal puniki lan insyaallah salajengipun",neutral,neutral,positive,neutral,neutral,neutral,empun tumbas ingkang rush alhamdulillah mboten wonten sesal dumugi wekdal puniki lan insyaallah salajengipun
handling mini cooper juara .,handling mini cooper juwara .,neutral,neutral,neutral,positive,neutral,neutral,handling mini cooper juwara
Saya sangat puas dengan mobil saya selain berbadan besar terlihat mewah dan sangat irit bahan bakar karena minum nya solar jadi mantap kijang innova,kula marem sanget kaliyan mobil kula kejawi gadhah badan ageng ketingal mewah lan irit sanget bahan besmi amargi ombenipun solar dados mantep kidang innova,positive,neutral,positive,positive,neutral,neutral,kula marem sanget kaliyan mobil kula jawi gadhah badan ageng ketingal mewah lan irit sanget bahan besmi amargi ombenipun solar dados mantep kidang innova
xenia gak awet banget masa baru 6 bulan sudah bermasalah,xenia mboten awet sanget masa enggal 6 sasi  sampun wonten masalah,neutral,neutral,negative,neutral,neutral,neutral,xenia mboten awet sanget masa enggal sasi sampun wonten masalah
lama banget nunggu inden xpander keburu saya jual ini mobil,lami sanget ngentosi inden xpander kesesa kula sade puniki mobil,neutral,neutral,neutral,neutral,neutral,negative,lam sanget ngentosi inden xpander kesesa kula sade puniki mobil
"Saya naik mazda CX3 sehari-hari . performa mantap , mobil nyaman tidak seperti honda hrv yang cenderung goyang-goyang","kula minggah mazda cx3 sadinten-dinten . performa mantep , mobil nyaman mboten kados   honda hrv ingkang cenderung goyang-goyang",neutral,neutral,negative,neutral,neutral,neutral,kula minggah mazda cx sadintendinten performa mantep mobil nyaman mboten kados honda hrv ingkang cenderung goyanggoyang
"Avanza guncangan mesin nya halus meski di jalan yang tak mulus , AC enggak menurun meski dinyalakan tanpa henti , dan mesin enggak cepat panas berlebih meski macet bermenit-menit .","avanza guncangan mesinipun   lembat sanadyan ing ratan ingkang mboten mulus , ac mboten mandhap sanadyan dipunsumed tanpa mendel , lan mesin mboten enggal benter berlebih sanadyan macet bermenit-menit .",neutral,positive,neutral,positive,neutral,neutral,avanza guncang mesin lembat sanadyan ing rat ingkang mboten mulus ac mboten mandhap sanadyan dipunsumed tanpa mendel lan mesin mboten enggal benter lebih sanadyan macet bermenitmenit
"Wuling Formo mobil cina, mesin nya enggak berumur panjang karena di cina juga enggak ada yang umur nya panjang.","wuling formo mobil cina, mesinipun   mboten umur panjang amargi ing cina ugi  mboten wonten ingkang umuripun   panjang.",neutral,negative,neutral,neutral,neutral,neutral,wuling formo mobil cina mesin mboten umur panjang amargi ing cina ugi mboten wonten ingkang umur panjang
"Mobil honda emang keren , saya punya honda CRV tahun 2006 sampai sekarang masih mulus ,","mobil honda estu  keren , kula gadhah honda crv warsa 2006 ngantos sapunika taksih mulus ,",neutral,neutral,positive,neutral,neutral,neutral,mobil honda estu keren kula gadhah honda crv warsa ngantos sapunika taksih mulus
"Honda slalu nanggung dan maksa tiap kali melakukan upgrade mobil yangg sudah ada , membosankan","honda slalu nanggung lan maksa saben kali nglampahaken upgrade mobil yangg sampun wonten , mbosenaken",neutral,neutral,negative,neutral,neutral,neutral,honda slalu nanggung lan maksa saben kali nglampahaken upgrade mobil yangg sampun wonten mbosenaken
Bengkel ahas togosari service nya tidak memuaskan mekanik nya gak fokus dan jelek . tidak seperti dulu . gimana itu bos .,bengkel ahas togosari servicenipun  mboten maremaken mekanikipun   mboten fokus lan awon  . mboten kados   rumiyin . kados pundi puniku bos .,neutral,neutral,neutral,neutral,neutral,negative,bengkel ahas togosari servicenipun mboten maremaken mekanik mboten fokus lan awon mboten kados rumiyin kados pundi pun bos
"Buat yang orientasi pengendara , Mitsubishi ini cocok banget mau mobil yang menyenangkan untuk dikendarai enak dibawa luar sama dalam kota","ngge ingkang orientasi pengendara , mitsubishi puniki cocok sanget badhe mobil ingkang ngremenaken  kangge dikendarai eca  dipunbekta jawi sami lebeting kitha",neutral,neutral,positive,neutral,neutral,neutral,ngge ingkang orientasi kendara mitsubishi puniki cocok sanget badhe mobil ingkang ngremenaken kangge kendara eca dipunbekta jawi sami lebeting kitha
N - Max biaya perawatan mahal bakal lebih boros dari pada kamu naik angkutan umum,n -max biaya perawatan awis  badhe langkung boros daripada sampeyan minggah embret,neutral,neutral,neutral,neutral,neutral,negative,n max biaya awat awis badhe langkung boros daripada sampeyan minggah embret
Fortuner lebih mewah lebih besar,fortuner langkung mewah langkung ageng,neutral,neutral,positive,neutral,neutral,neutral,fortuner langkung mewah langkung ageng
"@DaihatsuInd Xenia itu kita banget ! Cocok diajak ke mana-mana , service gampang , harga terjangkau , mudah dipakai .","@daihatsuind xenia puniku kita sanget ! cocok dipun-ajak dhateng pundi-pundi , service gampil  , regi  terjangkau , gampil dipunangge .",neutral,neutral,positive,neutral,positive,positive,daihatsuind xenia pun kita sanget cocok dipunajak dhateng pundipundi service gampil regi jangkau gampil dipunangge
Kenapa saya pilih pajero karena saya sering pulang kampung waktu lebaran dan jalan nya kebanyakan jelek dan tanjakan nya full curam belom di aspal,kenging punapa kula pilih pajero amargi kula asring wangsul kampung wekdal riyadi  lan marginipun kathah-kathah awon  lan tanjakanipun full curam dereng ing aspal,neutral,positive,neutral,neutral,neutral,neutral,kenging punapa kula pilih pajero amargi kula asring wangsul kampung wekdal riyadi lan margin kathahkathah awon lan tanjakanipun full curam dereng ing aspal
"Konsumsi bbm bisa dipaksa 1:12 kalau bawa nya waras , lumayan irit si Altis G 2003 MT ini","konsumsi bbm saged dipunpeksa 1:12 menawi bawanipun  saras , lumayan irit si altis g 2003 mt puniki",positive,neutral,neutral,neutral,neutral,neutral,konsumsi bbm saged dipunpeksa menawi bawanipun saras lumayan irit si altis g mt puniki
"harga purnajual memang Toyota lebih baik . tetapi ya orang macam gua mikir nya beli mobil ya buat dipakai , bukan dijual . Hehe","regi  purnajual estu   toyota langkung sae . nanging nggih tiyang macem gua mikiripun   tumbas mobil nggih damel dipunangge , sanes dipunsade . hehe",neutral,neutral,neutral,neutral,positive,neutral,regi purnajual estu toyota langkung sae nanging nggih tiyang macem gua mikiripun tumbas mobil nggih damel dipunangge sanes dipunsade hehe
"@YamahaIndonesia pelayanan bengkel yamaha di poso jelek sekali bung , hari kemarin bilang nyuruh hari ini , hari ini datang bilang tidak bisa","@yamahaindonesia pelayanan bengkel yamaha ing poso awon  sanget bung , dinten kala-wingi sanjang nyuruh dinten puniki , dinten puniki dugi sanjang mboten saged",neutral,neutral,neutral,neutral,neutral,negative,yamahaindonesia layan bengkel yamaha ing poso awon sanget bung dinten kalawingi sanjang nyuruh dinten puniki dinten puniki dugi sanjang mboten saged
"Saya membeli Honda Beat ini pada tahun 2015 , sudah tiga tahun lama nya umur motor ini . Saya bekerja dengan jarak tempuh lumayan jauh dari rumah saya , tetapi terbukti hingga saat ini sangat irit bbm - nya , di lain sisi ada dobel rem yang membuat sepeda ini menjadi luar biasa .","kula tumbas honda beat puniki ing  warsa 2015 , sampun tigang warsa laminipun umur motor puniki . kula nyambut damel kaliyan jarak tempuh lumayan tebih saking griya kula , nanging kebukti  ngantos wekdal puniki irit sanget bbm ipun    , ing benten sisi wonten dobel rem ingkang ndamel  pit    puniki dados   luar biasa .",positive,neutral,neutral,positive,neutral,neutral,kula tumbas honda beat puniki ing warsa sampun tigang warsa lamin umur motor puniki kula nyambut damel kaliyan jarak tempuh lumayan tebih saking griya kula nanging bukti ngantos wekdal puniki irit sanget bbm ipun ing benten sisi wonten dobel rem ingkang ndamel pit puniki dados luar biasa
Head Lamp Avanza juga menggunakan model terbaru . Dengan perubahan tersebut mobil ini memiliki desain yang lebih elegan juragan .,head lamp avanza ugi  ngangge model paling enggal . kaliyan ebah      kasebat  mobil puniki nggadhahi desain ingkang langkung elegan juragan .,neutral,neutral,neutral,positive,neutral,neutral,head lamp avanza ugi ngangge model paling enggal kaliyan ebah kasebat mobil puniki nggadhahi desain ingkang langkung elegan juragan
"saya menyesal beli mobilio, tetangga beli wuling cortez puas banget","kula getun    tumbas mobilio, tangga   tumbas wuling cortez marem sanget",neutral,neutral,positive,neutral,neutral,neutral,kula getun tumbas mobilio tangga tumbas wuling cortez marem sanget
brio adalah salah satu mobil ekonomis untuk keluarga menengah,brio inggih punika salah satunggaling mobil ekonomis kangge keluwargi menengah,neutral,neutral,neutral,neutral,positive,neutral,brio inggih punika salah satunggaling mobil ekonomis kangge keluwargi tengah
"kaki-kaki juga aman normal jaya . belum pernah ganti sparepart apa pun kecuali oli radiator dan filter , mantap brio","suku-suku ugi  aman normal jaya . dereng nate   gantos sparepart punapa nggih kejawi  oli radiator lan filter , mantep brio",neutral,neutral,neutral,positive,neutral,neutral,sukusuku ugi aman normal jaya dereng nate gantos sparepart punapa nggih jawi oli radiator lan filter mantep brio
"Ada satu lagi nih yang menurut saya sepele tetapi jadi kenikmatan , yaitu fitur Brake Hold di HRV","wonten setunggal malih niki ingkang midherek kula alitan nanging dados kenikmatan , inggih punika fitur brake hold ing hrv",neutral,neutral,neutral,positive,neutral,neutral,wonten tunggal malih nik ingkang midherek kula alit nanging dados nikmat inggih punika fitur brake hold ing hrv
xpander terlihat seperti mobil tahun 2020,xpander ketingal kados   mobil warsa 2020,neutral,neutral,positive,neutral,neutral,neutral,xpander ketingal kados mobil warsa
Toyota rush terbaik di kelas nya dan terdepan di zaman nya .,toyota rush paling sae ing kelasipun   lan terdepan ing jamanipun   .,neutral,neutral,positive,neutral,neutral,neutral,toyota rush paling sae ing kelasi lan depan ing jaman
brio gak bagus sumpah .,brio mboten sae   sumpah .,neutral,neutral,negative,neutral,neutral,neutral,brio mboten sae sumpah
"Dipakai kerja tiap hari enggak pernah rewel , mesin bandel , sesuai dengan kebutuhan , BBM irit tiada banding .","dipunangge nyambut damel saben dinten mboten nate   rewel , mesin bandel , cocog  kaliyan kebetahan , bbm irit mboten wonten banding .",positive,positive,positive,neutral,neutral,neutral,dipunangge nyambut damel saben dinten mboten nate rewel mesin bandel cocog kaliyan betah bbm irit mboten wonten banding
mendingan Mitsubishi Xpander yang rata rata menang disegala aspek,mendingan mitsubishi xpander ingkang radin radin menang disegala aspek,neutral,neutral,positive,neutral,neutral,neutral,mending mitsubishi xpander ingkang radin radin menang segala aspek
Kok bengkel toyota payah banget sih . Kata nya bakal dipanggil nomor nya tapi nomor nya manual :(,koh bengkel toyota payah sanget sih . tembungipun badhe dipunulemi nomoripun   nanging nomoripun   manual :(,neutral,neutral,neutral,neutral,neutral,negative,koh bengkel toyota payah sanget sih tembung badhe dipunulemi nomor nanging nomor manual
cukup 10 menit untuk bersihkan injektor motor injeksi Yamaha :D arti nya motor injeksi YMH perawatan murah & mudah,cukup 10 menit untuk bersihkan injektor motor injeksi Yamaha :D arti nya motor injeksi YMH perawatan murah & mudah,neutral,neutral,neutral,neutral,neutral,positive,cukup menit untuk sih injektor motor injeksi yamaha d arti nya motor injeksi ymh awat murah mudah
"Kekurangan dari Formo sekilas: minim fitur safety, kualitas finishing interior jelek.","kekirangan saking formo sekilas: minim fitur safety, kwalitet finishing interior awon .",neutral,neutral,neutral,negative,neutral,neutral,kekirangan saking formo kilas minim fitur safety kwalitet finishing interior awon
Susah banget telepon buat booking servis auto 2000 toyota ! Masa gue harus booking ke sana sih :(,sisah sanget telpon damel booking servis auto 2000 toyota ! masa kula kedah booking mrika sih :(,neutral,neutral,neutral,neutral,neutral,negative,sisah sanget telpon damel booking servis auto toyota masa kula kedah booking mrika sih
Yamaha motor injeksi nya lebih mudah dan murah perawatan nya,yamaha motor injeksinipun  langkung gampil lan mirah perawatanipun,neutral,neutral,neutral,neutral,neutral,positive,yamaha motor injeksinipun langkung gampil lan mirah perawatanipun
"Pengalaman pakai HRV 1.5 E , berisik shockbreaker pas di tol cikampek dan terbanting-banting kalau duduk di belakang","pengalaman angge hrv 1.5 e , berisik shockbreaker pas ing tol cikampek lan terbanting-banting menawi lenggah ing wingking",neutral,neutral,neutral,negative,neutral,neutral,alam angge hrv e berisik shockbreaker pas ing tol cikampek lan terbantingbanting menawi lenggah ing wingking
"Honda Beat bahan bakar sangat irit , ringan buat menyalip di jalanan macet , mesin tarikan enteng banget .","honda beat bahan besmi irit sanget , ringan damel menyalip ing ratanan macet , mesin tarikan enteng sanget .",positive,positive,positive,neutral,neutral,neutral,honda beat bahan besmi irit sanget ringan damel salip ing ratanan macet mesin tari enteng sanget
Mobil WULING CONFERO sangat layak untuk dipilih dan DIBELI sebagai mobil MPV yang nyaman dengan harga terjangkau .,mobil wuling confero prayogi sanget kangge dipunpilih lan dipuntumbas dados   mobil mpv ingkang nyaman kaliyan regi  terjangkau .,neutral,neutral,neutral,neutral,positive,neutral,mobil wuling confero prayogi sanget kangge dipunpilih lan dipuntumbas dados mobil mpv ingkang nyaman kaliyan regi jangkau
Memilih Terios baru rasanya tidak keliru,Memilih Terios baru rasanya tidak keliru,neutral,neutral,positive,neutral,neutral,neutral,pilih terios baru rasa tidak keliru
"Xenia irit banget apalagi kalau lagi kere . coba matikan saja ac - nya , bisa jalan-jalan dengan 25.000 rupiah .","xenia irit sanget punapa malih menawi saweg  kere . cobi pejahaken mawon ac ipun    , saged {margi-margi, mlampah-mlampah} kaliyan 25.000 rupiyah .",positive,neutral,neutral,neutral,neutral,neutral,xenia irit sanget punapa malih menawi saweg kere cobi pejahaken mawon ac ipun saged margimargi mlampahmlampah kaliyan rupiyah
Mobil wuling confero S nyaman dipakai di medan petualangan .,mobil wuling confero s nyaman dipunangge ing medan petualangan .,neutral,neutral,positive,neutral,neutral,neutral,mobil wuling confero s nyaman dipunangge ing medan tualang
Puas banget sama after sales-nya Nissan.,marem sanget sami after sales-ipun   nissan.,neutral,neutral,neutral,neutral,neutral,positive,marem sanget sami after salesipun nissan
"Avanza mudah dalam perawatan ,","avanza gampil lebeting perawatan ,",neutral,neutral,neutral,neutral,neutral,positive,avanza gampil lebeting awat
