original,translated,fuel,machine,others,part,price,service
All New Toyota Kijang Innova G Diesel 2017 . Mesin bandel nan irit Otolovers .,all new toyota kidang innova g diesel 2017 . mesin bandel nan irit otolovers .,positive,positive,neutral,neutral,neutral,neutral
"Khusus nya Daihatsu Xenia Sporty Manual , apalagi yang terbaru ini , di samping irit bbm , suara mesin halus . Tarikan lebih baik dari generasi sebelumnya dan akselerasi cukup baik dan variasi tidak terlalu monoton atau ramai .","mliginipun   daihatsu xenia sporty manual , punapa malih ingkang paling enggal puniki , ing sisi    irit bbm , suwanten mesin lembat . tarikan langkung sae saking generasi saderengipun  lan akselerasi cekap nggih lan variasi mboten patos monoton utawi rame  .",positive,positive,neutral,positive,neutral,neutral
untuk yang sekarang great new xenia sudah mempunyai fasilitas yang wow dengan harga yang bersahabat bahkan lebih murah daripada rival nya,kangge ingkang sapunika great new xenia sampun gadhah fasilitas ingkang wow kaliyan regi  ingkang mitran     malah  langkung mirah daripada rivalipun,neutral,neutral,neutral,positive,positive,neutral
"punya mobil altis tidak awet , baru setahun sudah rusak .","gadhah mobil altis mboten awet , enggal sawarsa sampun risak .",neutral,neutral,negative,neutral,neutral,neutral
Xenia ku tipe xi sudah 1.5 tahun dan cukup bangga dengan performa nya,xenia kula  tipe xi sampun 1.5 warsa lan cekap bingah kaliyan performanipun,neutral,positive,neutral,neutral,neutral,neutral
"Service rutin ke bengkel daihatsu resmi gak jaminan juga , rem - ku blong waktu jalan ,","service rutin dhateng bengkel daihatsu resmi mboten jaminan ugi  , rem kula   blong wekdal {margi, mlampah} ,",neutral,neutral,neutral,neutral,neutral,negative
"Saya pakai karimun , adik saya pakai brio . memang karimun lebih nyaman walau lebih murah dari brio .","kula angge karimun , adhi kula angge brio . estu   karimun langkung nyaman sanadyan langkung mirah saking brio .",neutral,neutral,positive,neutral,positive,neutral
bodi plus tampilan nya Avanza baru mantap juragan,bodi plus tampilanipun   avanza enggal mantep juragan,neutral,neutral,neutral,positive,neutral,neutral
Sudah dari dulu Toyota selalu kasih produk super mahal dengan fitur pas pasan,sampun saking rumiyin toyota tansah asih  produk super awis  kaliyan fitur pas pasan,neutral,neutral,neutral,negative,negative,neutral
"udah gaya nya stylish ekonomis pula, beli calya deh","empun gayanipun  stylish ekonomis ugi , tumbas calya deh",neutral,neutral,neutral,positive,positive,neutral
avanza ini mobil saya yang paling bandel,avanza puniki mobil kula ingkang paling bandel,neutral,positive,neutral,neutral,neutral,neutral
Mobil kualitas jelek kayak wuling saja masuk Indonesia.,mobil kwalitet awon  kados wuling mawon mlebet indonesia.,neutral,neutral,negative,neutral,neutral,neutral
Pelayanan bengkel daihatsu bagus,pelayanan bengkel daihatsu sae,neutral,neutral,neutral,neutral,neutral,positive
"gue punya xenia xi , dasbor nabrak pohon , setelah dua hari diperbaiki di servis resmi daihatsu , langsung jadi kayak baru lagi , keren .","kula gadhah xenia xi , dasbor nabrak wit   , sasampunipun kalih dinten dipundandosi ing servis resmi daihatsu , langsung dados kados enggal malih , keren .",neutral,neutral,neutral,neutral,neutral,positive
"fortuner per nya keras , capek","fortuner peripun atos, sayah",neutral,neutral,neutral,negative,neutral,neutral
"Lebih bagus Mobil Esemka , Mobil Nasional Asli Buatan Dalam Negeri , Harga Terjangkau , Irit BBM Mesin nya juga tangguh .","langkung sae mobil esemka , mobil nasional asli damelan lebet nagari , regi terjangkau , irit bbm mesinipun ugi tanggen .",positive,positive,positive,neutral,positive,neutral
"ya begitu itu Nissan , memang agak mahal tetapi daya tahan nya bagus .","nggih kados puniku puniku nissan , estu   radi awis  nanging daya tahanipun   sae   .",neutral,neutral,positive,neutral,negative,neutral
fortuner gak cocok buat mahasiswa dari segi desain yang terlalu mencolok dan mahal pula,fortuner mboten cocok damel mahasiswa saking segi desain ingkang sanget-sanget mencolok lan awis  ugi,neutral,neutral,neutral,negative,neutral,neutral
Servis di Bengkel Toyota Lebih cepat,servis ing bengkel toyota langkung enggal,neutral,neutral,neutral,neutral,neutral,positive
Honda Spacy irit banget sumpah,honda spacy irit sanget sumpah,positive,neutral,neutral,neutral,neutral,neutral
Gak bisa tidur kalau malam-malam di mobil karena suara ac nya berisik sekali,mboten saged tilem menawi ndalu-ndalu ing mobil amargi suwanten acipun   berisik sanget,neutral,neutral,neutral,negative,neutral,neutral
"Ih bengkel honda ini picik banget ya , masa iya aki motor gue ditukar sama yang jelek biar gak bisa hidup terus ada keluhan terus ke sana lagi gitu","ih bengkel honda puniki picik sanget nggih , napa nggih aki motor kula dipunlintu sami ingkang awon  supados mboten saged gesang terus wonten keluhan terus mrika malih ngoten",neutral,neutral,neutral,neutral,neutral,negative
"dari segi kenyamanan cortez oke lah, tapi bahan bakar nya itu loh boros banget","saking segi kenyamanan cortez oke lah, nanging bahan bakaripun   puniku loh boros sanget",negative,neutral,positive,neutral,neutral,neutral
"jujur saja inden nya lama banget dari dealer , sudah 1 bulan belum datang juga","jujur mawon indenipun   lami sanget saking dealer , sampun 1 sasi  dereng dugi ugi",neutral,neutral,neutral,neutral,neutral,negative
numpang gabung ya baru beli xenia 04 - 2008 3 hari yang lalu keseluruhan gue ngerasa cukup .,nderek  gabung nggih enggal tumbas xenia 04 -2008 3 dinten ingkang rumiyin sedayanipun kula ngerasa cekap .,neutral,neutral,positive,neutral,neutral,neutral
setuju banget kalau jazz lebih keren dan mantap daripada mobilio,purun sanget menawi jazz langkung keren lan mantep daripada mobilio,neutral,neutral,negative,neutral,neutral,neutral
"Masya Allah toyota mahal harga nya , tetapi pelit fitur-fitur","masya allah toyota awis  reginipun   , nanging pelit fitur-fitur",neutral,neutral,neutral,negative,negative,neutral
fortuner sparepart nya banyak dijual di mana-mana,fortuner sparepartipun   kathah dipunsade ing pundi-pundi,neutral,neutral,neutral,positive,neutral,neutral
"Alhamdullilah inden dari dealer wulling agustus awal mobil sudah datang , cepat .","alhamdullilah inden saking dealer wulling agustus wiwiting mobil sampun dugi , enggal .",neutral,neutral,neutral,neutral,neutral,positive
"Vario 125 sangat ringan dan nyaman dipakai untuk perempuan seperti saya , apalagi dibawa ke mana-mana sangat irit dan harga nya terjangkau dibandingkan motor honda yang lain .","vario 125 ringan sanget lan nyaman dipunangge kangge estri kados   kula , punapa malih dipunbekta dhateng pundi-pundi irit sanget lan reginipun   terjangkau dipunbandingaken motor honda ingkang sanes .",positive,neutral,positive,neutral,positive,neutral
"Udah beli yg rush 2018 , alhamdulillah tidak ada penyesalan sampai saat ini dan insyaAllah seterusnya","empun tumbas ingkang rush 2018 , alhamdulillah mboten wonten penyesalan dumugi wekdal puniki lan insyaallah salajengipun",neutral,neutral,positive,neutral,neutral,neutral
handling mini cooper juara .,handling mini cooper juwara .,neutral,neutral,neutral,positive,neutral,neutral
Saya sangat puas dengan mobil saya selain berbadan besar terlihat mewah dan sangat irit bahan bakar karena minum nya solar jadi mantap kijang innova,kula marem sanget kaliyan mobil kula kejawi gadhah badan ageng ketingal mewah lan irit sanget bahan besmi amargi ombenipun solar dados mantep kidang innova,positive,neutral,positive,positive,neutral,neutral
xenia gak awet banget masa baru 6 bulan sudah bermasalah,xenia mboten awet sanget masa enggal 6 sasi  sampun wonten masalah,neutral,neutral,negative,neutral,neutral,neutral
lama banget nunggu inden xpander keburu saya jual ini mobil,lami sanget ngentosi inden xpander kesesa kula sade puniki mobil,neutral,neutral,neutral,neutral,neutral,negative
"Saya naik mazda CX3 sehari-hari . performa mantap , mobil nyaman tidak seperti honda hrv yang cenderung goyang-goyang","kula minggah mazda cx3 sadinten-dinten . performa mantep , mobil nyaman mboten kados   honda hrv ingkang cenderung goyang-goyang",neutral,neutral,negative,neutral,neutral,neutral
"Avanza guncangan mesin nya halus meski di jalan yang tak mulus , AC enggak menurun meski dinyalakan tanpa henti , dan mesin enggak cepat panas berlebih meski macet bermenit-menit .","avanza guncangan mesinipun   lembat sanadyan ing ratan ingkang mboten mulus , ac mboten mandhap sanadyan dipunsumed tanpa mendel , lan mesin mboten enggal benter berlebih sanadyan macet bermenit-menit .",neutral,positive,neutral,positive,neutral,neutral
"Wuling Formo mobil cina, mesin nya enggak berumur panjang karena di cina juga enggak ada yang umur nya panjang.","wuling formo mobil cina, mesinipun   mboten umur panjang amargi ing cina ugi  mboten wonten ingkang umuripun   panjang.",neutral,negative,neutral,neutral,neutral,neutral
"Mobil honda emang keren , saya punya honda CRV tahun 2006 sampai sekarang masih mulus ,","mobil honda estu  keren , kula gadhah honda crv warsa 2006 ngantos sapunika taksih mulus ,",neutral,neutral,positive,neutral,neutral,neutral
"Honda slalu nanggung dan maksa tiap kali melakukan upgrade mobil yangg sudah ada , membosankan","honda slalu nanggung lan maksa saben kali nglampahaken upgrade mobil yangg sampun wonten , mbosenaken",neutral,neutral,negative,neutral,neutral,neutral
Bengkel ahas togosari service nya tidak memuaskan mekanik nya gak fokus dan jelek . tidak seperti dulu . gimana itu bos .,bengkel ahas togosari servicenipun  mboten maremaken mekanikipun   mboten fokus lan awon  . mboten kados   rumiyin . kados pundi puniku bos .,neutral,neutral,neutral,neutral,neutral,negative
"Buat yang orientasi pengendara , Mitsubishi ini cocok banget mau mobil yang menyenangkan untuk dikendarai enak dibawa luar sama dalam kota","ngge ingkang orientasi pengendara , mitsubishi puniki cocok sanget badhe mobil ingkang ngremenaken  kangge dikendarai eca  dipunbekta jawi sami lebeting kitha",neutral,neutral,positive,neutral,neutral,neutral
N - Max biaya perawatan mahal bakal lebih boros dari pada kamu naik angkutan umum,n -max biaya perawatan awis  badhe langkung boros daripada sampeyan minggah embret,neutral,neutral,neutral,neutral,neutral,negative
Fortuner lebih mewah lebih besar,fortuner langkung mewah langkung ageng,neutral,neutral,positive,neutral,neutral,neutral
"@DaihatsuInd Xenia itu kita banget ! Cocok diajak ke mana-mana , service gampang , harga terjangkau , mudah dipakai .","@daihatsuind xenia puniku kita sanget ! cocok dipun-ajak dhateng pundi-pundi , service gampil  , regi  terjangkau , gampil dipunangge .",neutral,neutral,positive,neutral,positive,positive
Kenapa saya pilih pajero karena saya sering pulang kampung waktu lebaran dan jalan nya kebanyakan jelek dan tanjakan nya full curam belom di aspal,kenging punapa kula pilih pajero amargi kula asring wangsul kampung wekdal riyadi  lan marginipun kathah-kathah awon  lan tanjakanipun full curam dereng ing aspal,neutral,positive,neutral,neutral,neutral,neutral
"Konsumsi bbm bisa dipaksa 1:12 kalau bawa nya waras , lumayan irit si Altis G 2003 MT ini","konsumsi bbm saged dipunpeksa 1:12 menawi bawanipun  saras , lumayan irit si altis g 2003 mt puniki",positive,neutral,neutral,neutral,neutral,neutral
"harga purnajual memang Toyota lebih baik . tetapi ya orang macam gua mikir nya beli mobil ya buat dipakai , bukan dijual . Hehe","regi  purnajual estu   toyota langkung sae . nanging nggih tiyang macem gua mikiripun   tumbas mobil nggih damel dipunangge , sanes dipunsade . hehe",neutral,neutral,neutral,neutral,positive,neutral
"@YamahaIndonesia pelayanan bengkel yamaha di poso jelek sekali bung , hari kemarin bilang nyuruh hari ini , hari ini datang bilang tidak bisa","@yamahaindonesia pelayanan bengkel yamaha ing poso awon  sanget bung , dinten kala-wingi sanjang nyuruh dinten puniki , dinten puniki dugi sanjang mboten saged",neutral,neutral,neutral,neutral,neutral,negative
"Saya membeli Honda Beat ini pada tahun 2015 , sudah tiga tahun lama nya umur motor ini . Saya bekerja dengan jarak tempuh lumayan jauh dari rumah saya , tetapi terbukti hingga saat ini sangat irit bbm - nya , di lain sisi ada dobel rem yang membuat sepeda ini menjadi luar biasa .","kula tumbas honda beat puniki ing  warsa 2015 , sampun tigang warsa laminipun umur motor puniki . kula nyambut damel kaliyan jarak tempuh lumayan tebih saking griya kula , nanging kebukti  ngantos wekdal puniki irit sanget bbm ipun    , ing benten sisi wonten dobel rem ingkang ndamel  pit    puniki dados   luar biasa .",positive,neutral,neutral,positive,neutral,neutral
Head Lamp Avanza juga menggunakan model terbaru . Dengan perubahan tersebut mobil ini memiliki desain yang lebih elegan juragan .,head lamp avanza ugi  ngangge model paling enggal . kaliyan ebah      kasebat  mobil puniki nggadhahi desain ingkang langkung elegan juragan .,neutral,neutral,neutral,positive,neutral,neutral
"saya menyesal beli mobilio, tetangga beli wuling cortez puas banget","kula getun    tumbas mobilio, tangga   tumbas wuling cortez marem sanget",neutral,neutral,positive,neutral,neutral,neutral
brio adalah salah satu mobil ekonomis untuk keluarga menengah,brio inggih punika salah satunggaling mobil ekonomis kangge keluwargi menengah,neutral,neutral,neutral,neutral,positive,neutral
"kaki-kaki juga aman normal jaya . belum pernah ganti sparepart apa pun kecuali oli radiator dan filter , mantap brio","suku-suku ugi  aman normal jaya . dereng nate   gantos sparepart punapa nggih kejawi  oli radiator lan filter , mantep brio",neutral,neutral,neutral,positive,neutral,neutral
"Ada satu lagi nih yang menurut saya sepele tetapi jadi kenikmatan , yaitu fitur Brake Hold di HRV","wonten setunggal malih niki ingkang midherek kula alitan nanging dados kenikmatan , inggih punika fitur brake hold ing hrv",neutral,neutral,neutral,positive,neutral,neutral
xpander terlihat seperti mobil tahun 2020,xpander ketingal kados   mobil warsa 2020,neutral,neutral,positive,neutral,neutral,neutral
Toyota rush terbaik di kelas nya dan terdepan di zaman nya .,toyota rush paling sae ing kelasipun   lan terdepan ing jamanipun   .,neutral,neutral,positive,neutral,neutral,neutral
brio gak bagus sumpah .,brio mboten sae   sumpah .,neutral,neutral,negative,neutral,neutral,neutral
"Dipakai kerja tiap hari enggak pernah rewel , mesin bandel , sesuai dengan kebutuhan , BBM irit tiada banding .","dipunangge nyambut damel saben dinten mboten nate   rewel , mesin bandel , cocog  kaliyan kebetahan , bbm irit mboten wonten banding .",positive,positive,positive,neutral,neutral,neutral
mendingan Mitsubishi Xpander yang rata rata menang disegala aspek,mendingan mitsubishi xpander ingkang radin radin menang disegala aspek,neutral,neutral,positive,neutral,neutral,neutral
Kok bengkel toyota payah banget sih . Kata nya bakal dipanggil nomor nya tapi nomor nya manual :(,koh bengkel toyota payah sanget sih . tembungipun badhe dipunulemi nomoripun   nanging nomoripun   manual :(,neutral,neutral,neutral,neutral,neutral,negative
cukup 10 menit untuk bersihkan injektor motor injeksi Yamaha :D arti nya motor injeksi YMH perawatan murah & mudah,cukup 10 menit untuk bersihkan injektor motor injeksi Yamaha :D arti nya motor injeksi YMH perawatan murah & mudah,neutral,neutral,neutral,neutral,neutral,positive
"Kekurangan dari Formo sekilas: minim fitur safety, kualitas finishing interior jelek.","kekirangan saking formo sekilas: minim fitur safety, kwalitet finishing interior awon .",neutral,neutral,neutral,negative,neutral,neutral
Susah banget telepon buat booking servis auto 2000 toyota ! Masa gue harus booking ke sana sih :(,sisah sanget telpon damel booking servis auto 2000 toyota ! masa kula kedah booking mrika sih :(,neutral,neutral,neutral,neutral,neutral,negative
Yamaha motor injeksi nya lebih mudah dan murah perawatan nya,yamaha motor injeksinipun  langkung gampil lan mirah perawatanipun,neutral,neutral,neutral,neutral,neutral,positive
"Pengalaman pakai HRV 1.5 E , berisik shockbreaker pas di tol cikampek dan terbanting-banting kalau duduk di belakang","pengalaman angge hrv 1.5 e , berisik shockbreaker pas ing tol cikampek lan terbanting-banting menawi lenggah ing wingking",neutral,neutral,neutral,negative,neutral,neutral
"Honda Beat bahan bakar sangat irit , ringan buat menyalip di jalanan macet , mesin tarikan enteng banget .","honda beat bahan besmi irit sanget , ringan damel menyalip ing ratanan macet , mesin tarikan enteng sanget .",positive,positive,positive,neutral,neutral,neutral
Mobil WULING CONFERO sangat layak untuk dipilih dan DIBELI sebagai mobil MPV yang nyaman dengan harga terjangkau .,mobil wuling confero prayogi sanget kangge dipunpilih lan dipuntumbas dados   mobil mpv ingkang nyaman kaliyan regi  terjangkau .,neutral,neutral,neutral,neutral,positive,neutral
Memilih Terios baru rasanya tidak keliru,Memilih Terios baru rasanya tidak keliru,neutral,neutral,positive,neutral,neutral,neutral
"Xenia irit banget apalagi kalau lagi kere . coba matikan saja ac - nya , bisa jalan-jalan dengan 25.000 rupiah .","xenia irit sanget punapa malih menawi saweg  kere . cobi pejahaken mawon ac ipun    , saged {margi-margi, mlampah-mlampah} kaliyan 25.000 rupiyah .",positive,neutral,neutral,neutral,neutral,neutral
Mobil wuling confero S nyaman dipakai di medan petualangan .,mobil wuling confero s nyaman dipunangge ing medan petualangan .,neutral,neutral,positive,neutral,neutral,neutral
Puas banget sama after sales-nya Nissan.,marem sanget sami after sales-ipun   nissan.,neutral,neutral,neutral,neutral,neutral,positive
"Avanza mudah dalam perawatan ,","avanza gampil lebeting perawatan ,",neutral,neutral,neutral,neutral,neutral,positive
"kalau soal mesin dan bentuk toplah yamaha , kayak sekarang saya pakai nmax 2018 yang memang sudah lama saya incar , dari bentuk saya suka sekali .","menawi soal mesin lan bentuk toplah yamaha , kados sapunika kula angge nmax 2018 ingkang estu   sampun setunggaling kula incer , saking bentuk kula remen sanget .",neutral,positive,neutral,positive,neutral,neutral
"masalah nya , Xenia 2005 kadang-kadang dasbor bunyi ,","masalahipun   , xenia 2005 kadang-kadang dasbor ungel ,",neutral,neutral,neutral,negative,neutral,neutral
"Dan cabin nya juga lebih luas fortuner , kalau pajero sempit apalagi di bagian depan","lan cabinipun   ugi  langkung wiyar fortuner , menawi pajero ripak  punapa malih ing perangan ngajeng",neutral,neutral,neutral,negative,neutral,neutral
"Service bengkel pinggir jalan dibilang jelek hasil service di dealer resmi pelayanan jelek , scumbag honda","service bengkel pinggiring {margi, mlampah} dipunetang awon  kasil service ing dealer resmi pelayanan awon  , scumbag honda",neutral,neutral,neutral,neutral,neutral,negative
selama ini pakai xexi lumayan enak dan nyaman juga .,salami puniki angge xexi lumayan eca  lan nyaman ugi  .,neutral,neutral,positive,neutral,neutral,neutral
"rata-rata bbm - nya luar kota juga bisa sampai 1:16 , irit banget mitsubishi","rata-rata bbm ipun    jawining kitha ugi  saged dumugi 1:16 , irit sanget mitsubishi",positive,neutral,neutral,neutral,neutral,neutral
"1 kelemahan xenia , DUDUK DI BARIS PALING BELAKANG KAYAK NAIK UNTA ! GILA BERASA BANGET PUYENGNYA .","1 kelemahan xenia , lenggah ing baris paling wingking kados minggah unta ! ewah kraos  sanget puyengipun   .",neutral,neutral,neutral,negative,neutral,neutral
Tapi yang sangat jelek dari Freed adalah tarikan nya .,nanging ingkang awon  sanget saking freed inggih punika tarikanipun   .,neutral,negative,neutral,neutral,neutral,neutral
Fortuner Itu Mobil Tenaga nya Lemah Harga Selangit,fortuner puniku mobil tenaganipun  ringkih regi  selangit,neutral,negative,neutral,neutral,negative,neutral
saya saranin beli vario aja suku cadang meadai purnajual juga oke,kula saranin tumbas vario mawon suku    cadang meadai purnajual ugi  oke,neutral,neutral,neutral,positive,positive,neutral
"brio gak cocok dibawa pergi ke medan yang susah, lemah dia","brio mboten cocok dipunbekta kesah dhateng medan ingkang sisah, ringkih piyambakipun",neutral,neutral,positive,neutral,neutral,neutral
"Simpel cocok dijuluki untuk nya Honda beat makin bertambah gaya desain minimalis namun juara di kelas nya , bahan bakar juara nya hemat ramah dan bersahabat dengan saku maupun di dompet , sukses selalu Honda one Heart","simpel cocok dipunwastani kangge piyambakipun honda beat saya  bertambah gaya desain minimalis nanging juwara ing kelasipun   , bahan besmi juwaranipun hemat ramah lan mitran     kaliyan sak     utawi  ing dompet , sukses tansah honda one heart",positive,neutral,neutral,positive,positive,neutral
"Soal tenaga yang kurang di ertiga juga agak mengganggu ,","soal tenaga ingkang kirang ing ertiga ugi  radi ngganggu ,",neutral,negative,neutral,neutral,neutral,neutral
"New Veloz saya rasa udah banyak improvement nya , terutama di bagian suspensi nya dibanding sebelumnya . Mental mentul , body roll , limbung sudah berkurang .","new veloz kula raos empun kathah improvementipun , utaminipun ing perangan suspensinipun  dipunbanding saderengipun  . mental mentul , body roll , limbung sampun saya kirang .",neutral,neutral,neutral,positive,neutral,neutral
@DaihatsuInd banyak yang mengeluh servis ke 2 di astra daihatsu mahal . tolong edukasikan ke bengkel-bengkel resmi jangan mainin harga atau sparepart yang bagus gak perlu diganti,@daihatsuind kathah ingkang ngeluh   servis dhateng 2 ing astra daihatsu awis  . tulung edukasikan dhateng bengkel-bengkel resmi sampun mainin regi  utawi sparepart ingkang sae   mboten betah dipun-gantos,neutral,neutral,neutral,neutral,neutral,negative
terus radio nya HRV nyala sendiri dengan volume maksimal . enggak bisa dimatikan dan dikecilkan .,terus radionipun  hrv nyala piyambak kaliyan volume maksimal . mboten saged dimatikan lan dikecilkan .,neutral,neutral,neutral,negative,neutral,neutral
"wah AVS kamu irit banget kak , AVG saya saja sekitar 1:8 sampai 1:9 memang macet sih jalanan .","wah avs sampeyan irit sanget mas/jeng , avg kula mawon sawentawis 1:8 dumugi 1:9 estu   macet sih margi   .",positive,neutral,neutral,neutral,neutral,neutral
"Fortuner adalah mobil impian saya . Ini adalah suv mahal memang , tetapi sepadan .","fortuner inggih punika mobil supena kula . puniki inggih punika suv awis  estu , nanging sepadan .",neutral,neutral,neutral,neutral,negative,neutral
"kalau melihat spesifikasi nya, harga ertiga cukup ramah di kantong","menawi sumerep spesifikasinipun , regi  ertiga cekap ramah ing kantong",neutral,neutral,neutral,neutral,positive,neutral
Ternyata perawatan yamaha rata rata lebih murah dari kompetitor .,kasunyatanipun perawatan yamaha radin radin langkung mirah saking kompetitor .,neutral,neutral,neutral,neutral,neutral,positive
"Sudah dua tahun saya memiliki motor Honda Beat ini , motor ini keseharian nya saya pergunakan untuk antar anak sekolah dan bekerja . Motor yang lumayan gesit , lincah dan irit BBM .","sampun kalih warsa kula nggadhahi motor honda beat puniki , motor puniki sadinten-dintenipun kula ngangge kangge antar lare  sekola lan nyambut damel . motor ingkang lumayan gesit , lincah lan irit bbm .",positive,positive,neutral,neutral,neutral,neutral
Pajero mempunyai mesin yang lebih bertenaga dan banyak fitur,pajero gadhah mesin ingkang langkung bertenaga lan kathah fitur,neutral,positive,neutral,positive,neutral,neutral
suzuki ignis dan Daihatsu sirion harga jual nya juga enggak stabil,suzuki ignis lan daihatsu sirion regi  jualipun   ugi  mboten stabil,neutral,neutral,neutral,neutral,negative,neutral
kalau menurut gue suspensi avanza agak aneh . kalau cuma berdua suspensi nya berasa keras banget . tetapi kalau diisi penuh 6 - 7 orang suspensi nya mantap betul .,menawi midherek kula suspensi avanza radi aneh . menawi naming berdua suspensinipun  kraos  atos|sora sanget . nanging menawi dipunisi kebak 6 -7 tiyang suspensinipun  mantep leres .,neutral,neutral,neutral,negative,neutral,neutral
"kalau sudah di atas 120 km / jam boros banget avanza saya , terus kopling nya memang agak keras juragan .","menawi sampun ing inggil 120 km / tabuh boros sanget avanza kula , terus koplingipun   estu   radi atos|sora juragan .",negative,neutral,neutral,negative,neutral,neutral
"Pertama kali memiliki mobil ini rasanya seperti mimpi , karena setelah dapat mobil ternyata menang undian juga 10 juta rupiah dari Daihatsu . Mobil irit , servis mudah dan murah .","kaping sapisan nggadhahi mobil puniki raosipun   kados   supena , amargi sasampunipun angsal mobil kasunyatanipun menang undian ugi  10 yuta rupiyah saking daihatsu . mobil irit , servis gampil lan mirah .",positive,neutral,neutral,neutral,neutral,positive
mendingan vrz 4*4 sekalian fitur lengkap spoiler bisa beli di toko variasi,mendingan vrz 4 * 4 sami fitur jangkep spoiler saged tumbas ing toko variasi,neutral,neutral,neutral,positive,neutral,neutral
Rush konde konsumsi BBM yang tetap irit .,rush konde konsumsi bbm ingkang tetep irit .,negative,neutral,neutral,neutral,neutral,neutral
Xenia memang masih kurang dari segi keamanan nya . Air bag - nya kagak ada bos .,Xenia memang masih kurang dari segi keamanan nya . Air bag - nya kagak ada bos .,neutral,neutral,neutral,positive,neutral,neutral
Pajero sport Dakar memang di atas Fortuner,pajero sport dakar estu   ing inggil fortuner,neutral,neutral,negative,neutral,neutral,neutral
Dulu gue enggak suka sama xpander .,Dulu gue enggak suka sama xpander .,neutral,neutral,negative,neutral,neutral,neutral
Altis gen 11 pas lah buat yang cari kenyamanan berkendara,altis gen 11 pas lah ngge ingkang pados kenyamanan berkendara,neutral,neutral,positive,neutral,neutral,neutral
"Fortuner saya kok setir nya agak enggak enak gitu , ya . Enggak luwes .","fortuner kula koh setiripun   radi mboten eca  ngoten , nggih . mboten luwes .",neutral,neutral,neutral,negative,neutral,neutral
